Move,Impact,Upshot
0.081,0.075,0.043
0.105,0.0,0.0
0.135,0.12,0.089
0.019,0.0,0.0
0.088,0.068,0.148
0.0,0.071,0.125
0.058,0.082,0.118
0.0,0.069,0.159
0.055,0.126,0.09
0.038,0.062,0.044
0.102,0.097,0.118
0.062,0.051,0.026
0.0,0.056,0.042
0.096,0.191,0.096
0.049,0.133,0.067
0.234,0.115,0.112
0.0,0.106,0.04
0.13,0.31,0.0
0.0,0.0,0.0
0.076,0.0,0.039
0.046,0.019,0.0
0.078,0.06,0.078
0.074,0.052,0.089
0.239,0.0,0.141
0.148,0.0,0.0
0.087,0.07,0.165
0.0,0.104,0.027
0.0,0.0,0.0
0.087,0.062,0.029
0.101,0.19,0.017
