Move,Impact,Upshot
0.019,0.051,0.12
0.024,0.063,0.094
0.111,0.049,0.067
0.098,0.0,0.0
0.114,0.026,0.0
0.048,0.059,0.022
0.043,0.097,0.086
0.128,0.083,0.062
0.11,0.0,0.03
0.0,0.0,0.051
0.066,0.0,0.0
0.06,0.125,0.031
0.068,0.15,0.125
0.0,0.101,0.1
0.052,0.0,0.172
0.0,0.0,0.06
0.137,0.151,0.105
0.053,0.12,0.038
0.21,0.0,0.06
0.034,0.057,0.0
0.039,0.087,0.201
0.045,0.046,0.0
0.07,0.048,0.136
0.0,0.0,0.046
0.15,0.067,0.044
0.085,0.059,0.156
0.039,0.112,0.027
0.147,0.0,0.173
0.101,0.058,0.042
0.181,0.062,0.081
