Things,Move,Impact,Upshot
Obamacare,"House Republicans had tried for years to cut off subsidies that helped low-income Obamacare enrollees with the co-pays, co-insurance and deductibles that come with their health plans. In 2017, Trump finally did it through administrative means after the GOP effort to replace the law fell apart — and he immediately drew intense outcry from Democrats and policy experts who called the move “sabotage.” ","The health exchanges didn’t collapse, as Trump had hoped. Instead, health plans and states quickly figured out a way to claw back the federal dollars they lost: They built the costs of the subsidies into premiums for Obamacare’s benchmark “silver” policies. This meant that premiums for these “silver” plans spiked and as a result, the premium subsidies the government had to pay for low-income enrollees vastly increased. The concept, known as “silver-loading,” grew government subsidizing of the exchanges by upwards of $20 billion per year. ","While Trump’s moves made Obamacare plans increasingly unaffordable for the unsubsidized, Democrats quickly tamped down their criticisms since it accomplished their goal of significantly boosting funding for Obamacare. The incoming Biden administration isn’t likely to reverse course. — Susannah Luthi"
Strategy,"The 2018 strategy rewired the Defense Department’s vast bureaucracy away from a focus on fighting insurgents and terrorists in the Middle East toward a long-term strategic competition with China and Russia. As a result, the military is changing how it trains personnel, which technologies it buys, and the geographic areas of the world where it prioritizes its forces. ","Already it has led to a reordering of the Pentagon budget and new investments supported by a bipartisan majority in Congress, including billions of dollars to beef up the U.S. military presence in the Asia-Pacific. ","Despite differences in tone and rhetoric, this is a refocusing of the United States’ military posture that is expected to continue in the Biden administration. — Bryan Bender "
Coronavirus,"Despite pressure from Democrats, unions and worker advocates, OSHA refused to set rules for worker safety during the pandemic. Republicans defended the decision by saying the burden on companies struggling to stay afloat amid the recession would be too great. In the absence of a standard, employers have only had to comply with a mix of optional guidelines, able to pick and choose what precautions they take. ","The agency’s backseat approach to workplace safety means Americans still face a dangerously unpredictable range of safety conditions when they show up to work. Though OSHA has cited some companies for coronavirus-related transgressions, many large corporations received meager fines even in cases where workers died from Covid-19. Democrats have attempted to include language mandating an emergency temporary standard in future rounds of pandemic aid — but their efforts have been unsuccessful.",One of the first things a Biden administration will likely move to do is instruct OSHA to step up worker safety enforcement — including by enacting an emergency standard and ramping up penalties on violators. Biden’s campaign also pledged to double the number of OSHA investigators to enforce the law and existing standards. — Eleanor Mueller 
Religion in schools,"DeVos tweaked a wide range of federal education policies, large and small, to bolster faith-based organizations. She changed regulations, for example, to make it easier for members of religious orders to access federal financial aid and expanded federal Public Service Loan Forgiveness to cover clergy members. And she created new protections for faith-based campus organizations at public universities.  |  Many religious education groups praised DeVos’ changes, which she often described as effort to expand religious liberty. “Too many misinterpret the ‘separation of church and state’ as an invitation for government to separate people from their faith,” she said.  |  The Biden administration is expected to move quickly to roll back many of DeVos’ education policies, but it’s not yet clear how the incoming administration will approach her various policy tweaks to promote religious organizations. — Michael Stratford",is not declared,is not declared
Oversight,"Interior Secretary David Bernhardt showed up for Congressional hearings that decided the fate of the department’s budget, but otherwise refused invitations from the House Natural Resources Committee to defend its policy actions under Trump. The attitude flowed down to sub-agency heads as well. Scott Angelle, the administration’s head of the Bureau of Safety and Environmental Enforcement, the office in charge of setting offshore drilling safety standards, told the committee he was “too busy” to answer the committee’s request that he explain its practice of handing out waivers on regulation put in place in response to the Deepwater Horizon rig disaster.","The foot-dragging in providing even basic information stretched to written requests from Congress and the public. House Democrats complained that Interior, in responding to written questions, would flood the zone with thousands of documents that had little relation to the topic at hand and even include pages containing nothing but Wingdings font. Interior was also sued by outside groups and subject to an internal watchdog audit over complaints it was slow walking public information requests. ","All in all, the agency got away with it: Democrats complained but never followed through on a subpoena threat. By the final six months of the Trump administration, Interior officials completely stopped attending House hearings meant to flag issues with the department. The behavior all but guarantees that future administrations will follow suit. — Ben Lefebvre "
Cannabis,"Despite its anti-weed rhetoric, the Trump administration stood to the side as 18 states liberalized their marijuana laws from 2016 to 2020, including staunchly conservative states like Mississippi and South Dakota. Despite former Attorney General William Barr’s anti-trust scrutiny of cannabis deals, the federal government remained relatively hands-off on marijuana policy. ","Cannabis is now legal in some form in 36 states, meaning that a majority of Americans have some form of legal access even though the drug remains officially illegal at the federal level. In fact, more than one-third of Americans now live in states with full legalization.","Cannabis has become a massive business, generating billions in state revenues. The move toward legalization is likely to accelerate under a Biden administration, which is expected to pressure Congress to pass legislation fixing some legal problems for cannabis companies, such as access to banking, and might even move to change its illegal status under the federal Controlled Substances Act. — Mona Zhang"
Loan forgiveness,"DeVos rewrote the Obama administration’s rules that govern when federal student loan borrowers can have their debt wiped out as a result of their college’s misconduct, imposing stricter standards of proof. She also required the Education Department to provide only partial loan relief in many cases, a departure from the Obama administration’s policy of providing full loan forgiveness. Congress moved to block the rules, with 10 GOP senators joining Democrats, but Trump vetoed the legislation and the new rules took effect. ",Borrowers seeking to have their loans wiped out because of the misconduct of their college — such as misleading or deceiving students about their job prospects — will have a tougher time proving their claims. The Education Department estimates that the Trump policy will reduce federal loan forgiveness by hundreds of millions of dollars each year. ,"Biden has already committed to swiftly reversing Trump’s changes to the rules, which are known as “borrower defense to repayment.” But he’s facing pressure from progressives to go further and provide sweeping debt cancellations to all borrowers, regardless of whether they were defrauded. — Michael Stratford"
Shell companies,"The new law would require millions of business entities to report their true owners, puncturing the veil of anonymity that shell companies give to money launderers and tax evaders and making it easier for prosecutors to literally follow the money. ","The information businesses report to the Treasury Department would be accessible to law enforcement agencies that would have an unprecedented tool to investigate shell companies. Banks, which are responsible for policing criminal activity by their customers, would also be able to tap into the database.",Criminals will keep finding ways to operate in the shadows. But the new disclosure rules could give law enforcement leverage over their frontmen and may make it harder for bad guys to find lawyers willing to help hide their money because of the new paper trail. — Zachary Warmbrodt 
Poverty,"In 2018, the Agriculture Department introduced a new rule that aimed to more strictly enforce certain work mandates under the program, making it more difficult for states to seek waivers from SNAP work requirements for able-bodied adults who aren’t caring for children or other dependents. ","755,000 Americans have lost their access to food aid under SNAP, according to the USDA’s own estimates. ","The courts could reverse the change. In October, a judge halted the rule and said that it “radically and abruptly alters decades of regulatory practice, leaving states scrambling and exponentially increasing food insecurity for tens of thousands of Americans.” But the Trump administration appealed that decision in December, prolonging the legal battle. — Liz Crampton  "
Overtime pay,"In 2016, Obama’s Labor Department finalized a rule that would raise the salary threshold for overtime eligibility from around $24,000 to some $47,000 a year, with triennial increases. At the time, only about 6 percent of workers were eligible. But Trump’s White House declined to defend the rule in court, and in 2019, proposed its own, much more lax rule, which would raise the threshold to about $35,000 with no scheduled raises.","The Trump rule applies to just 15 percent of full-time, salaried workers, whereas the Obama rule would have applied to twice as many. That’s at least 8 million workers who would have been eligible for overtime pay under the 2016 version and now are ineligible; some estimates place the amount of wages lost at around $1 billion annually.","Biden’s role in the Obama administration, which proposed the original rule, and his sweeping pro-worker agenda indicate that he will likely overturn the Trump rule and issue his own overtime rule — though when, exactly, that will happen remains unclear. — Eleanor Mueller"
Greenhouse gases,"The Trump administration loosened the standards oil and gas companies had to meet for how much methane — the largest chemical component of natural gas and a major heat-trapping substance — they could allow to leak out of pipelines, storage tanks and other oil field infrastructure. Senate Republicans had failed to kill the Obama rule at the beginning of the Trump administration, leaving the White House to roll back an environmental regulation even some oil and gas companies supported as a way to keep an increasingly green-minded public on their side.","Trump’s stance was the polar opposite of what China and European countries pledged to do to rein in emissions of a gas considered one of the leading causes of climate change. The Trump rollbacks, finalized in August, were considered so out of the norm that even oil companies such as BP and Shell publicly spoke out against them. The French government stepped in to force trading firm Engie, in which it owns a stake, to reject a proposed contract to import U.S. gas, citing reputational risk. Trump’s rejection of strict methane standards has also allowed Europe to claim the global mantle for fighting climate change. ",Trump’s rule changes are still being litigated in court and will be immediately in Biden’s sights for reversal when he officially takes office. But reputational damage has already been done. — Ben Lefebvre 
Drones,"In late 2019, the Interior Department temporarily stopped all non-emergency use of its mostly Chinese-made drones after officials from several agencies — including the Departments of Defense, Homeland Security and Justice — warned that drones and drone equipment made in China might be used for espionage. Interior Secretary David Bernhardt further escalated efforts in October when he told department leadership that all future drone purchases should be vetted against a list of DoD-approved, U.S.-made drones. More recently the Commerce Department added China-based manufacturer DJI, which is the largest civilian drone manufacturer in the world, to a trade blacklist, citing concerns about the company’s possible involvement in human rights abuses by the Chinese government.","DJI’s placement on the trade blacklist doesn’t affect ordinary consumers or businesses, but it’s a significant blow to U.S. companies, such as Microsoft and PrecisionHawk, who do business with DJI including provide components for their drones. This is bad timing for those companies, since the FAA is getting ready to greenlight new commercial uses, such as drone-based delivery services, which will increase sales. What’s more, Congress may soon put even more restrictions on use of Chinese-made technology because of security concerns.","While a Biden administration might be less prone to take actions to disrupt the global supply chain, it also might try to avoid perceptions of being soft on China. A Biden administration might use the Commerce Department’s blacklist as a “bargaining chip” with the Chinese government, meaning DJI might stay on the list for some time. Biden also has expressed support for bolstering U.S. drone manufacturing, which could translate to further actions that would reduce U.S. reliance on Chinese technology. — Stephanie Beasley "
Defense spending,"In 2018, the Trump administration for the first time attempted a Defense Department-wide audit. An army of 1,000 outside accountants and 150 personnel from the Defense Department inspector general's office fanned out to some 600 locations and collected 40,000 pages of financial documents. ","In the end, as widely expected, the Pentagon failed the audit overall; too much paperwork was missing or incomplete. Officials now predict the Defense Department won’t be able to pass a full audit until 2027 at the earliest. But there are bright spots: for example, the first time around the military pay system, an enormous stream of dollars, came back clean. In follow-up audits conducted in 2019 and 2020, meanwhile, a few more defense agencies and military components were added to the clean column. ","The overall exercise is seen as a milestone in the odyssey to someday verify where all our defense tax dollars are going. What’s more, the audit effort is helping Pentagon managers make their programs more efficient and minimize waste. Efforts to inject more accountability into Pentagon spending are likely to get even more intense during the Biden administration. — Bryan Bender"
